text,ade,term_PT
"intense and constant pain in my legs and arms. legs were also very painful to the touch. pain relievers didn't help. i was tired all the time, couldn't sleep, loss of sexual desire. my dr sent me to a rheumatologist as he suspected that i had lupus. within 2 days of stopping the lipitor, my symptoms began to subside. the leg pain is gone, i have lots of energy and i can sleep again. what a concept!!. it did significantly and quickly lower my cholesterol numbers, but they would immediately go back up as soon as i went off of it. i eat steel-cut oats every day and using natural products like red yeast rice, lecithin granules & garlic.",couldn't sleep,insomnia
"intense and constant pain in my legs and arms. legs were also very painful to the touch. pain relievers didn't help. i was tired all the time, couldn't sleep, loss of sexual desire. my dr sent me to a rheumatologist as he suspected that i had lupus. within 2 days of stopping the lipitor, my symptoms began to subside. the leg pain is gone, i have lots of energy and i can sleep again. what a concept!!. it did significantly and quickly lower my cholesterol numbers, but they would immediately go back up as soon as i went off of it. i eat steel-cut oats every day and using natural products like red yeast rice, lecithin granules & garlic.",legs painful to the touch,pain in extremity
muscule pain and numb leg chest pain.,numb leg,hypoaesthesia
muscule pain and numb leg chest pain.,chest pain,chest pain
muscule pain and numb leg chest pain.,muscule pain,myalgia
"doc put me on 10 mg/day. some stomach discomfort initially, but i seemed to get over that after the first few weeks. some muscle aches and pains which i didn't have before now seem to come and go. wife says that i am a lot grouchier since i started taking it. and just yesterday, was out doing the yard spring clean-up, and noticed extreme fatigue and shortness of breath. very worrisome. i have stopped taking lipitor, and will check back with my doctor asap. i just recently had my 3 month cholesterol check-up, and the doctor was very pleased since my overall cholesterol count dropped to 3.7 from over 7. i also take atacand for high blood pressure - have been on that one for years. he doesn't know yet about the fatigue and shortness of breath attacks, because that just happened.",muscle aches and pains,arthralgia
"doc put me on 10 mg/day. some stomach discomfort initially, but i seemed to get over that after the first few weeks. some muscle aches and pains which i didn't have before now seem to come and go. wife says that i am a lot grouchier since i started taking it. and just yesterday, was out doing the yard spring clean-up, and noticed extreme fatigue and shortness of breath. very worrisome. i have stopped taking lipitor, and will check back with my doctor asap. i just recently had my 3 month cholesterol check-up, and the doctor was very pleased since my overall cholesterol count dropped to 3.7 from over 7. i also take atacand for high blood pressure - have been on that one for years. he doesn't know yet about the fatigue and shortness of breath attacks, because that just happened.",shortness of breath,dyspnoea
"doc put me on 10 mg/day. some stomach discomfort initially, but i seemed to get over that after the first few weeks. some muscle aches and pains which i didn't have before now seem to come and go. wife says that i am a lot grouchier since i started taking it. and just yesterday, was out doing the yard spring clean-up, and noticed extreme fatigue and shortness of breath. very worrisome. i have stopped taking lipitor, and will check back with my doctor asap. i just recently had my 3 month cholesterol check-up, and the doctor was very pleased since my overall cholesterol count dropped to 3.7 from over 7. i also take atacand for high blood pressure - have been on that one for years. he doesn't know yet about the fatigue and shortness of breath attacks, because that just happened.",a lot grouchier,irritability
"doc put me on 10 mg/day. some stomach discomfort initially, but i seemed to get over that after the first few weeks. some muscle aches and pains which i didn't have before now seem to come and go. wife says that i am a lot grouchier since i started taking it. and just yesterday, was out doing the yard spring clean-up, and noticed extreme fatigue and shortness of breath. very worrisome. i have stopped taking lipitor, and will check back with my doctor asap. i just recently had my 3 month cholesterol check-up, and the doctor was very pleased since my overall cholesterol count dropped to 3.7 from over 7. i also take atacand for high blood pressure - have been on that one for years. he doesn't know yet about the fatigue and shortness of breath attacks, because that just happened.",fatigue,fatigue
"doc put me on 10 mg/day. some stomach discomfort initially, but i seemed to get over that after the first few weeks. some muscle aches and pains which i didn't have before now seem to come and go. wife says that i am a lot grouchier since i started taking it. and just yesterday, was out doing the yard spring clean-up, and noticed extreme fatigue and shortness of breath. very worrisome. i have stopped taking lipitor, and will check back with my doctor asap. i just recently had my 3 month cholesterol check-up, and the doctor was very pleased since my overall cholesterol count dropped to 3.7 from over 7. i also take atacand for high blood pressure - have been on that one for years. he doesn't know yet about the fatigue and shortness of breath attacks, because that just happened.",extreme fatigue,asthenia
"doc put me on 10 mg/day. some stomach discomfort initially, but i seemed to get over that after the first few weeks. some muscle aches and pains which i didn't have before now seem to come and go. wife says that i am a lot grouchier since i started taking it. and just yesterday, was out doing the yard spring clean-up, and noticed extreme fatigue and shortness of breath. very worrisome. i have stopped taking lipitor, and will check back with my doctor asap. i just recently had my 3 month cholesterol check-up, and the doctor was very pleased since my overall cholesterol count dropped to 3.7 from over 7. i also take atacand for high blood pressure - have been on that one for years. he doesn't know yet about the fatigue and shortness of breath attacks, because that just happened.",muscle aches and pains,myalgia
"doc put me on 10 mg/day. some stomach discomfort initially, but i seemed to get over that after the first few weeks. some muscle aches and pains which i didn't have before now seem to come and go. wife says that i am a lot grouchier since i started taking it. and just yesterday, was out doing the yard spring clean-up, and noticed extreme fatigue and shortness of breath. very worrisome. i have stopped taking lipitor, and will check back with my doctor asap. i just recently had my 3 month cholesterol check-up, and the doctor was very pleased since my overall cholesterol count dropped to 3.7 from over 7. i also take atacand for high blood pressure - have been on that one for years. he doesn't know yet about the fatigue and shortness of breath attacks, because that just happened.",stomach discomfort,abdominal pain upper
with this one it just makes me a little drowsy!.,drowsy,somnolence
"dizziness, sickness, stomach gas, feel like a bubble of air is stuck in my chest. hadn't realised it was related until i read this but i get the hunger pangs too, i'm assuming this is the acids and gas in your stomach constantly churning over that make you feel like you're hungry. i've taken co-codamol for my fibromyalgia for many years which i have very few side effects with. i've recently had this severe hip pain on both sides which the co codamol wasn't touching so i went back to the dr he recommended this anti-inflamatory and as he said next stop would be cortozone injections i was willing to give it a try. i've tried it for a week but it makes me feel dreadful. every time i stand up i have to hold onto something for fear of falling over, i feel sick and light headed and i get those waves of nausea where you suddenly feel all clammy. it's very much like having a permanent hangover, even down to the hunger which until i read thsi site i hadn't connected to the rest of it. i've felt no discernible difference in the pain in my hips and the side effects simply aren't worth it so thats it for me and this drug.",light headed,dizziness
"dizziness, sickness, stomach gas, feel like a bubble of air is stuck in my chest. hadn't realised it was related until i read this but i get the hunger pangs too, i'm assuming this is the acids and gas in your stomach constantly churning over that make you feel like you're hungry. i've taken co-codamol for my fibromyalgia for many years which i have very few side effects with. i've recently had this severe hip pain on both sides which the co codamol wasn't touching so i went back to the dr he recommended this anti-inflamatory and as he said next stop would be cortozone injections i was willing to give it a try. i've tried it for a week but it makes me feel dreadful. every time i stand up i have to hold onto something for fear of falling over, i feel sick and light headed and i get those waves of nausea where you suddenly feel all clammy. it's very much like having a permanent hangover, even down to the hunger which until i read thsi site i hadn't connected to the rest of it. i've felt no discernible difference in the pain in my hips and the side effects simply aren't worth it so thats it for me and this drug.",hunger pangs,abdominal pain upper
"dizziness, sickness, stomach gas, feel like a bubble of air is stuck in my chest. hadn't realised it was related until i read this but i get the hunger pangs too, i'm assuming this is the acids and gas in your stomach constantly churning over that make you feel like you're hungry. i've taken co-codamol for my fibromyalgia for many years which i have very few side effects with. i've recently had this severe hip pain on both sides which the co codamol wasn't touching so i went back to the dr he recommended this anti-inflamatory and as he said next stop would be cortozone injections i was willing to give it a try. i've tried it for a week but it makes me feel dreadful. every time i stand up i have to hold onto something for fear of falling over, i feel sick and light headed and i get those waves of nausea where you suddenly feel all clammy. it's very much like having a permanent hangover, even down to the hunger which until i read thsi site i hadn't connected to the rest of it. i've felt no discernible difference in the pain in my hips and the side effects simply aren't worth it so thats it for me and this drug.",hunger,hunger
"dizziness, sickness, stomach gas, feel like a bubble of air is stuck in my chest. hadn't realised it was related until i read this but i get the hunger pangs too, i'm assuming this is the acids and gas in your stomach constantly churning over that make you feel like you're hungry. i've taken co-codamol for my fibromyalgia for many years which i have very few side effects with. i've recently had this severe hip pain on both sides which the co codamol wasn't touching so i went back to the dr he recommended this anti-inflamatory and as he said next stop would be cortozone injections i was willing to give it a try. i've tried it for a week but it makes me feel dreadful. every time i stand up i have to hold onto something for fear of falling over, i feel sick and light headed and i get those waves of nausea where you suddenly feel all clammy. it's very much like having a permanent hangover, even down to the hunger which until i read thsi site i hadn't connected to the rest of it. i've felt no discernible difference in the pain in my hips and the side effects simply aren't worth it so thats it for me and this drug.",fear of falling over,fear of falling
"dizziness, sickness, stomach gas, feel like a bubble of air is stuck in my chest. hadn't realised it was related until i read this but i get the hunger pangs too, i'm assuming this is the acids and gas in your stomach constantly churning over that make you feel like you're hungry. i've taken co-codamol for my fibromyalgia for many years which i have very few side effects with. i've recently had this severe hip pain on both sides which the co codamol wasn't touching so i went back to the dr he recommended this anti-inflamatory and as he said next stop would be cortozone injections i was willing to give it a try. i've tried it for a week but it makes me feel dreadful. every time i stand up i have to hold onto something for fear of falling over, i feel sick and light headed and i get those waves of nausea where you suddenly feel all clammy. it's very much like having a permanent hangover, even down to the hunger which until i read thsi site i hadn't connected to the rest of it. i've felt no discernible difference in the pain in my hips and the side effects simply aren't worth it so thats it for me and this drug.",nausea,nausea
"dizziness, sickness, stomach gas, feel like a bubble of air is stuck in my chest. hadn't realised it was related until i read this but i get the hunger pangs too, i'm assuming this is the acids and gas in your stomach constantly churning over that make you feel like you're hungry. i've taken co-codamol for my fibromyalgia for many years which i have very few side effects with. i've recently had this severe hip pain on both sides which the co codamol wasn't touching so i went back to the dr he recommended this anti-inflamatory and as he said next stop would be cortozone injections i was willing to give it a try. i've tried it for a week but it makes me feel dreadful. every time i stand up i have to hold onto something for fear of falling over, i feel sick and light headed and i get those waves of nausea where you suddenly feel all clammy. it's very much like having a permanent hangover, even down to the hunger which until i read thsi site i hadn't connected to the rest of it. i've felt no discernible difference in the pain in my hips and the side effects simply aren't worth it so thats it for me and this drug.",sick,ill-defined disorder
"dizziness, sickness, stomach gas, feel like a bubble of air is stuck in my chest. hadn't realised it was related until i read this but i get the hunger pangs too, i'm assuming this is the acids and gas in your stomach constantly churning over that make you feel like you're hungry. i've taken co-codamol for my fibromyalgia for many years which i have very few side effects with. i've recently had this severe hip pain on both sides which the co codamol wasn't touching so i went back to the dr he recommended this anti-inflamatory and as he said next stop would be cortozone injections i was willing to give it a try. i've tried it for a week but it makes me feel dreadful. every time i stand up i have to hold onto something for fear of falling over, i feel sick and light headed and i get those waves of nausea where you suddenly feel all clammy. it's very much like having a permanent hangover, even down to the hunger which until i read thsi site i hadn't connected to the rest of it. i've felt no discernible difference in the pain in my hips and the side effects simply aren't worth it so thats it for me and this drug.",feel dreadful,malaise
"dizziness, sickness, stomach gas, feel like a bubble of air is stuck in my chest. hadn't realised it was related until i read this but i get the hunger pangs too, i'm assuming this is the acids and gas in your stomach constantly churning over that make you feel like you're hungry. i've taken co-codamol for my fibromyalgia for many years which i have very few side effects with. i've recently had this severe hip pain on both sides which the co codamol wasn't touching so i went back to the dr he recommended this anti-inflamatory and as he said next stop would be cortozone injections i was willing to give it a try. i've tried it for a week but it makes me feel dreadful. every time i stand up i have to hold onto something for fear of falling over, i feel sick and light headed and i get those waves of nausea where you suddenly feel all clammy. it's very much like having a permanent hangover, even down to the hunger which until i read thsi site i hadn't connected to the rest of it. i've felt no discernible difference in the pain in my hips and the side effects simply aren't worth it so thats it for me and this drug.",stomach gas,flatulence
"dizziness, sickness, stomach gas, feel like a bubble of air is stuck in my chest. hadn't realised it was related until i read this but i get the hunger pangs too, i'm assuming this is the acids and gas in your stomach constantly churning over that make you feel like you're hungry. i've taken co-codamol for my fibromyalgia for many years which i have very few side effects with. i've recently had this severe hip pain on both sides which the co codamol wasn't touching so i went back to the dr he recommended this anti-inflamatory and as he said next stop would be cortozone injections i was willing to give it a try. i've tried it for a week but it makes me feel dreadful. every time i stand up i have to hold onto something for fear of falling over, i feel sick and light headed and i get those waves of nausea where you suddenly feel all clammy. it's very much like having a permanent hangover, even down to the hunger which until i read thsi site i hadn't connected to the rest of it. i've felt no discernible difference in the pain in my hips and the side effects simply aren't worth it so thats it for me and this drug.",feel all clammy,cold sweat
"dizziness, sickness, stomach gas, feel like a bubble of air is stuck in my chest. hadn't realised it was related until i read this but i get the hunger pangs too, i'm assuming this is the acids and gas in your stomach constantly churning over that make you feel like you're hungry. i've taken co-codamol for my fibromyalgia for many years which i have very few side effects with. i've recently had this severe hip pain on both sides which the co codamol wasn't touching so i went back to the dr he recommended this anti-inflamatory and as he said next stop would be cortozone injections i was willing to give it a try. i've tried it for a week but it makes me feel dreadful. every time i stand up i have to hold onto something for fear of falling over, i feel sick and light headed and i get those waves of nausea where you suddenly feel all clammy. it's very much like having a permanent hangover, even down to the hunger which until i read thsi site i hadn't connected to the rest of it. i've felt no discernible difference in the pain in my hips and the side effects simply aren't worth it so thats it for me and this drug.",dizziness,dizziness
"dizziness, sickness, stomach gas, feel like a bubble of air is stuck in my chest. hadn't realised it was related until i read this but i get the hunger pangs too, i'm assuming this is the acids and gas in your stomach constantly churning over that make you feel like you're hungry. i've taken co-codamol for my fibromyalgia for many years which i have very few side effects with. i've recently had this severe hip pain on both sides which the co codamol wasn't touching so i went back to the dr he recommended this anti-inflamatory and as he said next stop would be cortozone injections i was willing to give it a try. i've tried it for a week but it makes me feel dreadful. every time i stand up i have to hold onto something for fear of falling over, i feel sick and light headed and i get those waves of nausea where you suddenly feel all clammy. it's very much like having a permanent hangover, even down to the hunger which until i read thsi site i hadn't connected to the rest of it. i've felt no discernible difference in the pain in my hips and the side effects simply aren't worth it so thats it for me and this drug.",sickness,ill-defined disorder
"dizziness, sickness, stomach gas, feel like a bubble of air is stuck in my chest. hadn't realised it was related until i read this but i get the hunger pangs too, i'm assuming this is the acids and gas in your stomach constantly churning over that make you feel like you're hungry. i've taken co-codamol for my fibromyalgia for many years which i have very few side effects with. i've recently had this severe hip pain on both sides which the co codamol wasn't touching so i went back to the dr he recommended this anti-inflamatory and as he said next stop would be cortozone injections i was willing to give it a try. i've tried it for a week but it makes me feel dreadful. every time i stand up i have to hold onto something for fear of falling over, i feel sick and light headed and i get those waves of nausea where you suddenly feel all clammy. it's very much like having a permanent hangover, even down to the hunger which until i read thsi site i hadn't connected to the rest of it. i've felt no discernible difference in the pain in my hips and the side effects simply aren't worth it so thats it for me and this drug.",feel like a bubble of air is stuck in my chest,chest discomfort
"mild muscle pain and burning. my symptoms grew dramatically worse after adding tricor 145mg on advice of physician. took lipitor for about 8 years to reduce cholesterol from 240 to 160. on advice of physician added tricor 145mg to reduce trigycerides from 330. combination was very effective - cholesterol to 140, triglycerides to 150. side effects increased noticeably a few months after starting tricor. about 4 months after starting tricor, spent a day of heavy physical exertion (shoveling snow). immediately afterward side effects increased dramatically, severe muscle pain, burning, cramps, exhaustion, mild nausea, inability to concentrate. after two weeks of decline, contacted physician, who directed me to stop both medications. one week after cessation and i am starting to feel a little better. belatedly reading on the web about this combination (i was never informed that physical exertion can bring on these side effects) i recommend extreme caution with this combination.",severe muscle pain,myalgia
"mild muscle pain and burning. my symptoms grew dramatically worse after adding tricor 145mg on advice of physician. took lipitor for about 8 years to reduce cholesterol from 240 to 160. on advice of physician added tricor 145mg to reduce trigycerides from 330. combination was very effective - cholesterol to 140, triglycerides to 150. side effects increased noticeably a few months after starting tricor. about 4 months after starting tricor, spent a day of heavy physical exertion (shoveling snow). immediately afterward side effects increased dramatically, severe muscle pain, burning, cramps, exhaustion, mild nausea, inability to concentrate. after two weeks of decline, contacted physician, who directed me to stop both medications. one week after cessation and i am starting to feel a little better. belatedly reading on the web about this combination (i was never informed that physical exertion can bring on these side effects) i recommend extreme caution with this combination.",mild muscle pain,myalgia
"mild muscle pain and burning. my symptoms grew dramatically worse after adding tricor 145mg on advice of physician. took lipitor for about 8 years to reduce cholesterol from 240 to 160. on advice of physician added tricor 145mg to reduce trigycerides from 330. combination was very effective - cholesterol to 140, triglycerides to 150. side effects increased noticeably a few months after starting tricor. about 4 months after starting tricor, spent a day of heavy physical exertion (shoveling snow). immediately afterward side effects increased dramatically, severe muscle pain, burning, cramps, exhaustion, mild nausea, inability to concentrate. after two weeks of decline, contacted physician, who directed me to stop both medications. one week after cessation and i am starting to feel a little better. belatedly reading on the web about this combination (i was never informed that physical exertion can bring on these side effects) i recommend extreme caution with this combination.",inability to concentrate,disturbance in attention
"mild muscle pain and burning. my symptoms grew dramatically worse after adding tricor 145mg on advice of physician. took lipitor for about 8 years to reduce cholesterol from 240 to 160. on advice of physician added tricor 145mg to reduce trigycerides from 330. combination was very effective - cholesterol to 140, triglycerides to 150. side effects increased noticeably a few months after starting tricor. about 4 months after starting tricor, spent a day of heavy physical exertion (shoveling snow). immediately afterward side effects increased dramatically, severe muscle pain, burning, cramps, exhaustion, mild nausea, inability to concentrate. after two weeks of decline, contacted physician, who directed me to stop both medications. one week after cessation and i am starting to feel a little better. belatedly reading on the web about this combination (i was never informed that physical exertion can bring on these side effects) i recommend extreme caution with this combination.",cramps,muscle spasms
"mild muscle pain and burning. my symptoms grew dramatically worse after adding tricor 145mg on advice of physician. took lipitor for about 8 years to reduce cholesterol from 240 to 160. on advice of physician added tricor 145mg to reduce trigycerides from 330. combination was very effective - cholesterol to 140, triglycerides to 150. side effects increased noticeably a few months after starting tricor. about 4 months after starting tricor, spent a day of heavy physical exertion (shoveling snow). immediately afterward side effects increased dramatically, severe muscle pain, burning, cramps, exhaustion, mild nausea, inability to concentrate. after two weeks of decline, contacted physician, who directed me to stop both medications. one week after cessation and i am starting to feel a little better. belatedly reading on the web about this combination (i was never informed that physical exertion can bring on these side effects) i recommend extreme caution with this combination.",mild nausea,nausea
"mild muscle pain and burning. my symptoms grew dramatically worse after adding tricor 145mg on advice of physician. took lipitor for about 8 years to reduce cholesterol from 240 to 160. on advice of physician added tricor 145mg to reduce trigycerides from 330. combination was very effective - cholesterol to 140, triglycerides to 150. side effects increased noticeably a few months after starting tricor. about 4 months after starting tricor, spent a day of heavy physical exertion (shoveling snow). immediately afterward side effects increased dramatically, severe muscle pain, burning, cramps, exhaustion, mild nausea, inability to concentrate. after two weeks of decline, contacted physician, who directed me to stop both medications. one week after cessation and i am starting to feel a little better. belatedly reading on the web about this combination (i was never informed that physical exertion can bring on these side effects) i recommend extreme caution with this combination.",severe muscle pain,pain
"mild muscle pain and burning. my symptoms grew dramatically worse after adding tricor 145mg on advice of physician. took lipitor for about 8 years to reduce cholesterol from 240 to 160. on advice of physician added tricor 145mg to reduce trigycerides from 330. combination was very effective - cholesterol to 140, triglycerides to 150. side effects increased noticeably a few months after starting tricor. about 4 months after starting tricor, spent a day of heavy physical exertion (shoveling snow). immediately afterward side effects increased dramatically, severe muscle pain, burning, cramps, exhaustion, mild nausea, inability to concentrate. after two weeks of decline, contacted physician, who directed me to stop both medications. one week after cessation and i am starting to feel a little better. belatedly reading on the web about this combination (i was never informed that physical exertion can bring on these side effects) i recommend extreme caution with this combination.",burning,burning sensation
"mild muscle pain and burning. my symptoms grew dramatically worse after adding tricor 145mg on advice of physician. took lipitor for about 8 years to reduce cholesterol from 240 to 160. on advice of physician added tricor 145mg to reduce trigycerides from 330. combination was very effective - cholesterol to 140, triglycerides to 150. side effects increased noticeably a few months after starting tricor. about 4 months after starting tricor, spent a day of heavy physical exertion (shoveling snow). immediately afterward side effects increased dramatically, severe muscle pain, burning, cramps, exhaustion, mild nausea, inability to concentrate. after two weeks of decline, contacted physician, who directed me to stop both medications. one week after cessation and i am starting to feel a little better. belatedly reading on the web about this combination (i was never informed that physical exertion can bring on these side effects) i recommend extreme caution with this combination.",exhaustion,fatigue
"severe muscle pain and movement restriction, hand tremor, memory deficits, worsening cataract, gum infections. improvements noted two weeks after discontinuing, did not regain full range of movements in arms for two years.",movement restriction,joint stiffness
"severe muscle pain and movement restriction, hand tremor, memory deficits, worsening cataract, gum infections. improvements noted two weeks after discontinuing, did not regain full range of movements in arms for two years.",tremor,tremor
"severe muscle pain and movement restriction, hand tremor, memory deficits, worsening cataract, gum infections. improvements noted two weeks after discontinuing, did not regain full range of movements in arms for two years.",muscle pain,myalgia
"severe muscle pain and movement restriction, hand tremor, memory deficits, worsening cataract, gum infections. improvements noted two weeks after discontinuing, did not regain full range of movements in arms for two years.",gum infections,gingivitis
"severe muscle pain and movement restriction, hand tremor, memory deficits, worsening cataract, gum infections. improvements noted two weeks after discontinuing, did not regain full range of movements in arms for two years.",memory deficits,memory impairment
"was put on 10mg, the lowest dose. i experienced cramping in my stomach, and some muscle side effects. i decided to go off of it after a few months. when my cholesterol shot up to 300, i reconsidered and tried it again. but i cut the dosage in half with a pill cutter taking only 5mg per day. this is something people should consider. where the first time my cholesterol went down to 188 with 10mg, on 5mg it went down to 198. it has since gone up to 220 on that dosage but still a far cry from 300. but now (after about 9 months) i am once again considering going off of it. i have terrible constipation and have been having bad muscle pains. in my neck and shoulders, lower back and right hip, then the other day it was on the news that a study showed statin drugs can cause heart problems. and cancer especially in the elderly. it also said that 7 our of 10 researchers who told us they should lower the bar on cholesterol levels (meaning more people should take it at lower numbers) were connected to the drug companies who make and sell it!!!!.",cramping in my stomach,learning disorder
"was put on 10mg, the lowest dose. i experienced cramping in my stomach, and some muscle side effects. i decided to go off of it after a few months. when my cholesterol shot up to 300, i reconsidered and tried it again. but i cut the dosage in half with a pill cutter taking only 5mg per day. this is something people should consider. where the first time my cholesterol went down to 188 with 10mg, on 5mg it went down to 198. it has since gone up to 220 on that dosage but still a far cry from 300. but now (after about 9 months) i am once again considering going off of it. i have terrible constipation and have been having bad muscle pains. in my neck and shoulders, lower back and right hip, then the other day it was on the news that a study showed statin drugs can cause heart problems. and cancer especially in the elderly. it also said that 7 our of 10 researchers who told us they should lower the bar on cholesterol levels (meaning more people should take it at lower numbers) were connected to the drug companies who make and sell it!!!!.",bad muscle pains,myalgia
"was put on 10mg, the lowest dose. i experienced cramping in my stomach, and some muscle side effects. i decided to go off of it after a few months. when my cholesterol shot up to 300, i reconsidered and tried it again. but i cut the dosage in half with a pill cutter taking only 5mg per day. this is something people should consider. where the first time my cholesterol went down to 188 with 10mg, on 5mg it went down to 198. it has since gone up to 220 on that dosage but still a far cry from 300. but now (after about 9 months) i am once again considering going off of it. i have terrible constipation and have been having bad muscle pains. in my neck and shoulders, lower back and right hip, then the other day it was on the news that a study showed statin drugs can cause heart problems. and cancer especially in the elderly. it also said that 7 our of 10 researchers who told us they should lower the bar on cholesterol levels (meaning more people should take it at lower numbers) were connected to the drug companies who make and sell it!!!!.",constipation,constipation
muscle pain in left arm weak feeling general malaise. i would not recommendthis drug.,general malaise,malaise
muscle pain in left arm weak feeling general malaise. i would not recommendthis drug.,weak feeling,asthenia
muscle pain in left arm weak feeling general malaise. i would not recommendthis drug.,muscle pain in left arm,myalgia
"extreme fatigue, short term memory loss, muscle weakness, hip pain, some cramping in toes. have been taking 10 mg of lipitor for 8 months. also on strict low cholesterol diet and taking magnesium, omega 3, olive oil. lowered ldl from 186 to 80 and total cholesterol from 260 to 130. have also lost 40 lbs. heart doctor says i should continue taking lipitor because it is good for the arterial walls and heart. however, because of increasing bad side effects (especially extreme tiredness and general feeling of malais) am going to discontinue use and maintain strict diet and exercise. benefits of lipitor on cholesterol levels have been very good but am increasingly concerned about long term side effects.",cramping in toes,muscle spasms
"extreme fatigue, short term memory loss, muscle weakness, hip pain, some cramping in toes. have been taking 10 mg of lipitor for 8 months. also on strict low cholesterol diet and taking magnesium, omega 3, olive oil. lowered ldl from 186 to 80 and total cholesterol from 260 to 130. have also lost 40 lbs. heart doctor says i should continue taking lipitor because it is good for the arterial walls and heart. however, because of increasing bad side effects (especially extreme tiredness and general feeling of malais) am going to discontinue use and maintain strict diet and exercise. benefits of lipitor on cholesterol levels have been very good but am increasingly concerned about long term side effects.",short term memory loss,memory impairment
"extreme fatigue, short term memory loss, muscle weakness, hip pain, some cramping in toes. have been taking 10 mg of lipitor for 8 months. also on strict low cholesterol diet and taking magnesium, omega 3, olive oil. lowered ldl from 186 to 80 and total cholesterol from 260 to 130. have also lost 40 lbs. heart doctor says i should continue taking lipitor because it is good for the arterial walls and heart. however, because of increasing bad side effects (especially extreme tiredness and general feeling of malais) am going to discontinue use and maintain strict diet and exercise. benefits of lipitor on cholesterol levels have been very good but am increasingly concerned about long term side effects.",extreme tiredness,fatigue
